model,method,fold,generation_id,prompt_id,question_sha256,source_path,code_sha256,code_chars,extraction_route,differs_from_archived_code_block,archived_parse_ok,archived_status,status,parse_ok,compile_ok,third_party_import,import_modules,error_type,error_message
deepseekcoder,ROME,A,270__repeat_1,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,493931cfcd1952683404a4c7537efc499c0a152e2b6cf8bb45021b058c8fce0e,10770,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,270__repeat_2,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,0d7af314d2574ef39963a5f33e54a7011ec8399df78f493d63318a639a932467,10439,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,270__repeat_3,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,096a1b3cb16ccd71b50f1d6c11ba31fb3e72274f187e655210945bc24f0a8b93,10465,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,270__repeat_4,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,7be8aa7397f7f324fef92aafed595bcb5dca1eae1732c2b7a6539f78842afaf3,10369,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,270__repeat_5,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,0dae0d3e816de778a8ec4e9518256fb51798c525203900cb329a5baa74afd244,10452,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,4126__repeat_1,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,07202aab25d992a731f70737ab9079fb1ba851ea1f3de31dc5b5f271a2735f90,10376,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,4126__repeat_2,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,45c7d14922a25d28ba966b79827baaf97990dea15f5da252250aaf11048cf9a8,10547,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,4126__repeat_3,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,3439a1f751b6a06053fd8f537c62b1e0d38436da012783a7cae962b3a71dda04,10514,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,4126__repeat_4,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,68603f83e0f6990202917007b9ff7d30c74d749d07c32bf4c707df2becfe0036,10691,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,4126__repeat_5,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,afd8e989eedc8873f193ceb2b213944d44dc4acb9f4393f44a912f1532573045,10784,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,2845__repeat_1,2845,43429b421d2212d294bad75f7a342a03f9cb7b70d3d0ae0ddee8e42bf57efeff,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,6a334d94ece55041733f17cdfd38e450c8ab5c2db92735e8f7a92bd7da54d77e,4085,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
deepseekcoder,ROME,A,2845__repeat_2,2845,43429b421d2212d294bad75f7a342a03f9cb7b70d3d0ae0ddee8e42bf57efeff,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/ROME/fold_A/test100_case_repeat5/rq2_details.jsonl,c33e3ba19273c474cf3e9214842bd2b5b970ababbb8346566385b9e76c58dfc9,10572,answer_fallback,False,False,no_code,no_code,False,False,False,[],,
