model,method,fold,generation_id,prompt_id,import_path,top_level,kind,line,source,accepted_by_full_line_ast,parso_only
deepseekcoder,Base,A,1947__repeat_4,1947,hangul_,hangul_,absolute,2,parso_node_ast,0,1
deepseekcoder,MEMIT,A,2483__repeat_1,2483,aws_cdk,aws_cdk,absolute,1,parso_node_ast,0,0
deepseekcoder,MEMIT,B,4117__repeat_4,4117,opentelemetry.sdk.trace.export,opentelemetry,absolute,4,parso_node_ast,0,0
deepseekcoder,MEMIT,C,4117__repeat_1,4117,opentelemetry.sdk.trace.export,opentelemetry,absolute,4,parso_node_ast,0,0
deepseekcoder,DINM,A,4720__repeat_4,4720,ats.device.enums,ats,absolute,9,parso_node_ast,0,0
deepseekcoder,DINM,A,2483__repeat_1,2483,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,A,2483__repeat_3,2483,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,A,2483__repeat_5,2483,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,A,1316__repeat_1,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,A,1316__repeat_3,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,A,1316__repeat_4,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,B,2483__repeat_2,2483,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,B,1316__repeat_1,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,B,1316__repeat_2,1316,aws_cdk,aws_cdk,absolute,3,parso_node_ast,0,0
deepseekcoder,DINM,B,1316__repeat_3,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,C,1316__repeat_3,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,C,1316__repeat_5,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,D,2483__repeat_1,2483,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,D,2483__repeat_2,2483,aws_cdk,aws_cdk,absolute,4,parso_node_ast,0,0
deepseekcoder,DINM,D,2483__repeat_5,2483,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,D,2496__repeat_4,2496,openedx.core.lib.api.authentication,openedx,absolute,11,parso_node_ast,0,0
deepseekcoder,DINM,D,1316__repeat_1,1316,aws_cdk,aws_cdk,absolute,5,parso_node_ast,0,0
deepseekcoder,DINM,D,1316__repeat_2,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,DINM,D,1316__repeat_3,1316,aws_cdk.aws_kinesisfirehose,aws_cdk,absolute,3,parso_node_ast,0,0
deepseekcoder,DINM,D,1316__repeat_4,1316,aws_cdk,aws_cdk,absolute,2,parso_node_ast,0,0
deepseekcoder,Full-FT,C,2483__repeat_4,2483,aws_cdk,aws_cdk,absolute,1,parso_node_ast,0,0
qwen3,BOUND,A,4453__repeat_4,4453,two_factor.utils,two_factor,absolute,22,parso_node_ast,0,0
qwen3,BOUND,A,2608__repeat_5,2608,azure.cognitiveservices.vision.face.models,azure,absolute,9,parso_node_ast,0,0
qwen3,BOUND,A,2608__repeat_5,2608,azure.cognitiveservices.vision.imageanalysis.models,azure,absolute,12,parso_node_ast,0,0
qwen3,BOUND,A,2608__repeat_5,2608,azure.cognitiveservices.vision.readwrite.models,azure,absolute,16,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,4,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,43,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,82,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,121,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,160,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,199,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,238,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,277,parso_node_ast,0,0
qwen3,BOUND,A,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,316,parso_node_ast,0,0
qwen3,BOUND,A,1970__repeat_1,1970,securesession,securesession,absolute,18,parso_node_ast,0,0
qwen3,BOUND,B,1603__repeat_5,1603,rdkit.Chem.rdForceFieldOpt,rdkit,absolute,13,parso_node_ast,0,0
qwen3,BOUND,B,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,6,parso_node_ast,0,0
qwen3,BOUND,B,4676__repeat_3,4676,flask_jwt_extended,flask_jwt_extended,absolute,6,parso_node_ast,0,0
qwen3,BOUND,B,4676__repeat_4,4676,flask_jwt_extended,flask_jwt_extended,absolute,6,parso_node_ast,0,0
qwen3,BOUND,C,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,6,parso_node_ast,0,0
qwen3,BOUND,D,2762__repeat_5,2762,aws_cdk,aws_cdk,absolute,3,parso_node_ast,0,0
qwen3,BOUND,D,4744__repeat_2,4744,aws_cdk,aws_cdk,absolute,3,parso_node_ast,0,0
qwen3,BOUND,D,4744__repeat_3,4744,aws_cdk,aws_cdk,absolute,5,parso_node_ast,0,0
qwen3,BOUND,D,4676__repeat_2,4676,flask_jwt_extended,flask_jwt_extended,absolute,6,parso_node_ast,0,0
qwen3,BOUND,D,4676__repeat_3,4676,flask_jwt_extended,flask_jwt_extended,absolute,6,parso_node_ast,0,0
qwen3,BOUND,D,4676__repeat_4,4676,flask_jwt_extended,flask_jwt_extended,absolute,5,parso_node_ast,0,0
